image_path,label,filename,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,blur_score,is_blurry,is_too_dark,is_too_bright,is_outlier
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_23_18_2_all.bmp,ALL,UID_23_18_2_all.bmp,70.53771651122271,27.997693963308393,80.28533360664139,11.972613903653363,9.30720745989139,11.937019274189096,144.60661576304193,167.46507635543713,80.47911755662601,3.7158108781212835,17.556422607227443,12.079631395037325,76.94562962962964,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_19_4_all.bmp,ALL,UID_34_19_4_all.bmp,72.65809658482239,31.95766379568925,84.58332262073102,12.566380206683327,8.858425631437063,10.677054632006941,143.3245061490337,159.44427304280757,84.70887431974975,3.0289027434039526,18.683457749627387,10.69563189506241,14.804108641975308,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_63_5_all.bmp,ALL,UID_51_63_5_all.bmp,83.20427434073055,39.60935805538657,93.16274763932606,14.653343827961404,10.56129353984105,12.020040853468656,144.3560716269474,147.575951543365,93.27767344671622,4.025320458912727,19.389067245945323,12.14398260419748,30.444987654320986,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_33_7_6_all.bmp,ALL,UID_33_7_6_all.bmp,71.12183777358588,31.493242719450116,81.72495413318174,11.522461271234487,10.463958664896607,12.328478410856285,143.84059019612909,158.2711956381302,81.81733378123465,3.733996147028358,18.289627475286512,12.403954098426716,44.547358024691356,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_7_8_all.bmp,ALL,UID_34_7_8_all.bmp,73.36842446229593,31.439880798134233,84.33366804871729,13.117844907591557,8.689040828068503,11.790815001221688,143.75832469551696,160.63096009328842,84.35744363824826,2.8554958565860478,17.119224444084537,11.823613240240936,64.44153086419753,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_117_1_all.bmp,ALL,UID_51_117_1_all.bmp,73.58715187995422,32.483086770378534,80.84438980967317,12.040233172943369,10.027345937570624,9.584557956333342,145.57265482599297,154.12867195116783,81.1831418761392,5.128554733683693,19.232461639113378,10.317093799309395,26.838666666666665,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_96_8_all.bmp,ALL,UID_51_96_8_all.bmp,88.90807799442896,40.470522092458665,94.47844420025044,12.926592226979048,8.8457758886883,10.597884744901675,146.99386675525798,146.86652526130177,95.03278730418339,3.040199552645607,15.17780258063802,11.11560580857367,42.458716049382716,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_37_6_all.bmp,ALL,UID_51_37_6_all.bmp,75.11174828569695,31.73083924995449,81.70168092724073,12.387614117594069,9.471602128973235,11.096229542396335,146.13462588749317,157.4135263062079,81.93030523696827,3.4088998049587285,18.475309655649795,11.2580666862277,17.785896296296297,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_32_12_2_all.bmp,ALL,UID_32_12_2_all.bmp,61.2155029923055,24.593929894556855,73.761185522941,8.417897390491015,7.057825940930574,7.612492048347809,142.52125961812482,170.92168709033913,73.81570247933884,3.1304343586802057,16.0909505304917,7.642513473677062,32.18980740740741,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_43_8_all.bmp,ALL,UID_51_43_8_all.bmp,75.5652986181128,32.3739398612182,86.72670660103196,12.496362927891004,10.136188783935856,12.086838749552603,143.8688096791412,160.93668821540834,86.77631813059723,2.2515941016250793,17.70237423108424,12.240560438167872,46.41986172839506,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_30_10_6_all.bmp,ALL,UID_30_10_6_all.bmp,64.62141932776048,27.4921828547445,79.99122101360568,10.342672452022072,7.943638690447042,9.354779645912771,141.45874575915497,167.7853520338568,80.02098562484699,3.5348887954532904,18.503508572886926,9.329858124260921,21.267002469135804,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_30_9_all.bmp,ALL,UID_34_30_9_all.bmp,68.05209522040286,27.528223773254425,78.17971922188902,13.386296293381653,7.304099138778756,10.719580017640984,144.0139858284016,166.1413709827234,78.36827578885911,3.735181897575745,14.325371221345955,10.977205606901226,24.780148148148147,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_26_4_all.bmp,ALL,UID_38_26_4_all.bmp,62.52806172186168,26.29362448820433,74.17602985822911,12.50095334115138,9.269281420242812,10.69771559184973,142.78770576274962,165.96100604406317,74.27869537364566,3.453511849879162,20.39284639163753,10.823674040301546,47.05103209876543,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_104_3_all.bmp,ALL,UID_51_104_3_all.bmp,73.56824644549764,30.64537291095036,80.56914442504365,13.054474367658086,11.699159091112168,11.128926342549256,145.90975305562483,160.42047892242454,81.028136692442,4.261985100939759,21.05295025791705,11.533425845942226,130.67563456790123,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_111_1_all.bmp,ALL,UID_51_111_1_all.bmp,88.86392340000587,39.94078773460217,97.67794519340912,11.211127817440708,9.138312555846452,11.587175118317083,145.37545158163715,151.29359414926427,97.68552295356419,1.8699108487914182,14.12444557436901,11.595263659983615,76.83696790123457,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_127_4_all.bmp,ALL,UID_51_127_4_all.bmp,74.32583457777349,32.24623055060456,80.20456187677634,12.281494628486826,8.251028931045607,9.650803290001623,146.30015896719496,153.64808035069126,80.79948456091334,6.644814365322106,18.364600867104425,10.266995087878541,37.21945679012346,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_46_10_2_all.bmp,ALL,UID_46_10_2_all.bmp,71.72881311748911,30.638434868746906,83.93973045541044,9.492898020061943,5.900765827076062,8.07538040220759,143.26839759130368,161.9956726884075,84.00135554339042,3.1733234898560663,14.045008111506034,8.044313561192025,16.494627160493827,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_2_13_1_all.bmp,ALL,UID_2_13_1_all.bmp,71.98401481113544,31.027680567158114,81.1556072339753,13.5216223388855,11.188199852347122,10.073419888008377,144.71937865480572,159.68914677925537,81.60644374703665,4.409378832743428,22.02716511696332,10.862450966749899,21.685392592592592,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_10_2_all.bmp,ALL,UID_34_10_2_all.bmp,85.41788077412942,38.424683917865245,93.38476592836507,11.516192046539548,8.421573620452186,10.235593110323707,145.67124351526823,150.5093349072722,93.46711813861018,2.0447888664997174,14.935241679759217,10.409050170388024,31.67202962962963,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_55_1_all.bmp,ALL,UID_51_55_1_all.bmp,62.71018301489216,30.79626867438502,76.90138977673604,18.606643875343227,17.256640730768567,11.377454184775367,142.00002367592396,158.6293297345929,79.0419537372446,13.129483496473997,40.306595659720834,13.45686581942716,74.54614320987655,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_32_26_9_all.bmp,ALL,UID_32_26_9_all.bmp,76.08089935356014,32.269853253432736,83.99591846364366,11.438109939548756,7.748170655317189,9.72583917556245,145.515170103336,158.12600858774124,84.33135941112631,3.1611909977292285,14.292399522016662,10.077425289900527,27.603516049382716,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_2_33_5_all.bmp,ALL,UID_2_33_5_all.bmp,74.82921745720962,35.23583654392724,83.73498389439777,19.496127394674513,18.846357930571376,13.508481122554926,143.32268047748374,153.15972967851954,84.88662919219352,15.422364571007613,28.062938533700883,16.140088697769382,21.701135802469135,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_6_2_all.bmp,ALL,UID_38_6_2_all.bmp,64.17297583231395,25.403411908619038,75.53727642410817,10.21111012291611,8.654056987739436,10.009024461085664,143.21635203491255,170.30363341819023,75.57873508116508,3.227933099861718,19.448221683065277,10.044056491141706,22.140454320987654,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_33_22_4_all.bmp,ALL,UID_33_22_4_all.bmp,73.14773545445195,32.572187746425755,84.75650563993554,11.718188991149427,8.656414528354604,11.16177739245628,143.2756539925258,157.67452943394932,84.75671135187027,3.2313337081638807,16.396559596133503,11.161913959242863,29.0047012345679,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_1_3_all.bmp,ALL,UID_38_1_3_all.bmp,61.90682306816745,26.15995320601998,73.1864487163273,11.406528996278478,8.384527243778134,10.676775477038412,142.52946756038952,164.43755533071962,73.21316554951309,7.646179947883859,19.405372277916488,10.704633949543249,51.85696790123457,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_47_2_all.bmp,ALL,UID_51_47_2_all.bmp,70.27943799566422,29.211821849016218,78.42921434647786,11.503859353494015,8.609059875729507,9.966018465954004,145.16319530199502,161.1286188633682,78.6864795148322,3.5889955476274062,18.302247430516655,10.215854567470332,44.29943703703704,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_23_29_1_all.bmp,ALL,UID_23_29_1_all.bmp,59.020371764892396,24.417541912726406,77.66941460901272,11.114765402140915,8.069886657509045,10.35764781537621,139.63168324679958,175.41928579921526,77.68522848876383,3.7957348490603704,18.56172959873486,10.35518419284771,24.04542222222222,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_33_3_2_all.bmp,ALL,UID_33_3_2_all.bmp,66.16789611656404,30.517283423763946,80.571054075474,11.820652737232688,12.646039781105427,14.121033277963441,141.40456014143754,160.67371822227642,80.57312686703652,3.9338424828613707,21.96188323117553,14.12095361927269,64.53989135802469,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_7_6_all.bmp,ALL,UID_51_7_6_all.bmp,86.1717888660184,38.59169091726406,88.48652613149738,10.108142682530788,8.0765779749692,9.223839360310668,148.6418009321693,145.50914424965103,89.48382899188492,2.943594250291084,14.588356606508263,9.728485300674729,25.134913580246913,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_84_1_all.bmp,ALL,UID_51_84_1_all.bmp,74.74002824222828,28.88148496817633,79.99126128154226,13.03453870947748,11.465131901691235,12.223733825477096,147.0077973108487,165.02482450934244,80.14569306018869,2.4982732682581608,21.501797612580955,12.406468782719777,84.92187654320988,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_96_10_all.bmp,ALL,UID_51_96_10_all.bmp,79.15897319572039,34.33783221806359,88.89520244981286,11.308348186784002,8.32165254009334,9.980593435700532,144.79906241729992,157.11530754980907,89.05421345128728,3.177835087831003,16.373610813486973,10.042807054434737,21.078232098765433,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_2_3_3_all.bmp,ALL,UID_2_3_3_all.bmp,74.55379555674878,31.902006846097052,85.33507841689598,11.897420945553183,8.920383000682131,10.630660948478042,144.01651117524665,160.54791149294135,85.38291160480568,3.338358344364988,16.749186265759107,10.677454861851189,45.35154567901235,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_29_1_all.bmp,ALL,UID_34_29_1_all.bmp,71.38554297357784,28.84350469318903,78.20569863379764,10.746266707765244,7.395375557298164,9.20073634992456,145.95213281223903,161.65333867789025,78.34943381100311,2.4623049628407507,16.923026566362616,9.339591237782782,19.553372839506174,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_153_6_all.bmp,ALL,UID_51_153_6_all.bmp,69.44742638338246,27.188777066178712,77.70421198874996,11.772823616061746,7.263628825597453,9.759913259330018,145.20046762224254,166.8189827521941,78.05492867066518,3.622901047572178,15.29908419117312,10.192262363072045,29.591683950617284,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_30_9_3_all.bmp,ALL,UID_30_9_3_all.bmp,80.55340785974589,35.59905939131291,86.99298236974293,14.60243618300937,10.103515351505138,10.968078868345371,146.39279030828325,152.3730178272432,87.44895597360386,4.069299629311096,18.444229528473805,11.38016497568552,41.355664197530864,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_175_1_all.bmp,ALL,UID_51_175_1_all.bmp,76.92964086505529,36.17898033075643,91.83667677854976,16.097129137596788,18.925367069215614,18.24250608609466,142.0216916201846,158.95064748670777,91.92363897315458,4.521269227826478,30.324432421260973,18.27030646186407,42.1184987654321,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_76_1_all.bmp,ALL,UID_51_76_1_all.bmp,69.94422340949566,28.721950664999433,82.14395058921602,14.506427291232484,10.400278926539487,12.449782621775185,143.1784320412262,167.46474176802698,82.15539388427874,3.191812754009065,20.604497017504826,12.464957101142721,20.642617283950617,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_104_1_all.bmp,ALL,UID_51_104_1_all.bmp,71.44810902550853,29.51827646477696,77.75367935760063,14.148443628547337,12.898421605887448,12.442790305097134,146.15224054512754,161.0312587076019,78.19862198242015,4.986119584697208,25.360728265474872,12.82622647725055,52.97286913580247,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_4_2_all.bmp,ALL,UID_51_4_2_all.bmp,69.32650246305418,29.68776354679803,83.34924137931034,12.49717197895844,9.985126181000666,12.712941349255725,142.22199014778326,165.56784236453203,83.35196059113301,2.818660755235569,18.367616565583354,12.711851093567983,18.22401975308642,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_32_8_1_all.bmp,ALL,UID_32_8_1_all.bmp,62.745967130214915,24.412389380530975,72.83592920353982,11.035356042168665,7.88201224604866,9.235861979982817,143.97383059418456,170.63008849557522,73.06649810366625,3.7799120206792183,18.79704242457449,9.383385146835327,23.954972839506173,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_1_4_all.bmp,ALL,UID_51_1_4_all.bmp,68.72127289220133,29.078893819412098,77.66603741204736,9.753713012966378,8.806900837309994,9.766142888957114,144.55125156292138,160.78680526612567,77.94917747431906,4.12799966038035,19.054701929201496,9.92251680873657,28.149234567901235,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_21_16_all.bmp,ALL,UID_34_21_16_all.bmp,68.25318032786885,28.83193442622951,82.05485245901639,11.158681015991652,8.215180861421727,10.241153290325625,142.15724590163936,165.8030819672131,82.06478688524591,2.989982447756868,17.28477137971531,10.250396203640946,41.58277530864198,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_33_32_3_all.bmp,ALL,UID_33_32_3_all.bmp,69.06780943435608,29.156934877896056,78.66755374660822,9.275737832524069,7.678980105453403,9.605729372803388,144.18894802755165,161.17238050511375,78.69544458359424,3.774114140982903,15.829328126606262,9.624322365832832,34.239614814814814,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_23_28_1_all.bmp,ALL,UID_23_28_1_all.bmp,64.68780801971326,25.840725806451612,75.73471102150538,12.144877532537985,10.872957992774689,11.56453308704305,143.52601366487454,169.79508288530465,75.87701612903226,4.008929022733234,22.693578377319035,11.64254641666809,43.293916049382716,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_23_1_1_all.bmp,ALL,UID_23_1_1_all.bmp,64.17199530875529,24.031257967467237,75.34967620213146,12.720319571444909,6.26852194612164,8.286244795402093,143.610142267095,174.1884656570292,75.58816480546632,5.394979142134256,17.137375380911056,8.331547347398766,12.540335802469135,True,False,False,True
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_32_3_2_all.bmp,ALL,UID_32_3_2_all.bmp,62.12275851173079,27.90494246517629,76.01058535429338,11.275240356704616,8.305888147940204,10.313090839301326,141.5189983411012,162.32553914211232,76.10627485056744,3.9465800620122136,18.49506471169776,10.305739158191251,23.575693827160492,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_116_6_all.bmp,ALL,UID_51_116_6_all.bmp,82.74183860741894,38.49847060786386,94.51240197986763,9.746448032635367,9.897059866522666,10.764429773763556,143.61612257382794,151.9094043712808,94.51259662977587,2.6683856065983744,16.982191524377683,10.764132470777989,21.855585185185184,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_30_18_10_all.bmp,ALL,UID_30_18_10_all.bmp,64.33128656033136,26.319151255313738,78.6343421865349,12.0260337947601,9.7219614464713,12.095716707576763,141.91864985648365,170.5597863604985,78.64506049485884,2.813027196471769,19.67041441710412,12.108115456391968,74.01844938271604,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_46_3_1_all.bmp,ALL,UID_46_3_1_all.bmp,72.63810688623408,30.267783431978508,83.02653591630812,10.38698168366775,6.879373864798174,8.777397922088252,144.24810535741585,162.28494987660252,83.15792692248891,3.3831857562130483,15.74635507767577,8.870886136148131,44.75868641975308,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_9_3_all.bmp,ALL,UID_38_9_3_all.bmp,72.18401035044279,29.199424479689487,81.675031787459,11.908796208086224,8.73285504624497,10.175328269124762,144.6331838765085,165.0265453166477,81.78235071047759,2.5236973887994814,17.540463451884147,10.320744951190212,27.986795061728394,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_150_6_all.bmp,ALL,UID_51_150_6_all.bmp,65.42149044957215,25.27551858425835,70.33570879805018,11.252400993568678,8.479541900996376,10.920705995140883,146.5061329377169,164.74072111690995,70.74541023127665,7.931578365312295,19.286695388395106,11.105332383687548,54.32008888888889,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_9_8_all.bmp,ALL,UID_34_9_8_all.bmp,81.12220838522208,36.28071814030718,91.95902864259028,11.71654147197481,8.21887475159902,10.133696468752639,144.22704441677044,154.8796180987962,92.01255707762557,2.4437013396784883,14.982685305572478,10.188918482225867,44.83157530864197,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_34_21_14_all.bmp,ALL,UID_34_21_14_all.bmp,75.97009212693044,33.1079264764787,87.0576349637278,12.583987994057463,8.700405832694814,10.630115171378153,143.8824157728426,158.67417330544305,87.11188748942988,2.7962334112702116,17.211783086086754,10.664375401484941,15.379338271604938,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_8_3_all.bmp,ALL,UID_51_8_3_all.bmp,82.13729704473776,44.94816026165168,90.06788926527275,14.320417694019977,15.076934631855295,12.191696582989119,146.4296227076276,131.5938324962037,92.12877000350426,7.69769501527733,33.811417744674756,12.251331936048809,39.221027160493826,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_8_4_all.bmp,ALL,UID_38_8_4_all.bmp,63.51172096634515,25.004389763191686,73.96228387135307,11.356602118055994,8.096504771534539,10.032043748346563,143.74599098157495,170.05694747215338,74.203870158569,3.580486324673822,17.901703849683223,10.252180797743014,25.470143209876543,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_32_23_4_all.bmp,ALL,UID_32_23_4_all.bmp,76.57105885000563,33.59765950264431,86.9451558456172,11.480374378671064,9.33035346683329,8.712707466859461,144.26607404073366,157.73318330145156,87.12220096770564,3.0120765391088575,17.624193288423047,9.070686800654025,67.3792987654321,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_44_23_6_all.bmp,ALL,UID_44_23_6_all.bmp,66.87639837280256,26.871531309022227,73.1181534214732,11.021897135390113,8.209161435710183,9.828192581637754,146.15400261513875,163.12883190469273,73.75682841784106,4.103790327224946,17.56095218778676,10.23836030473298,13.312128395061729,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_46_1_3_all.bmp,ALL,UID_46_1_3_all.bmp,76.64354687765866,35.0245873745108,85.58616215756338,11.286943012623244,8.696315632796887,10.053744631688275,145.18295899268335,151.03579632465545,86.12189467415348,4.323225603965078,22.95990318031333,10.027307047571233,38.01616790123457,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_131_10_all.bmp,ALL,UID_51_131_10_all.bmp,84.33120370370371,37.53817901234568,93.88216049382716,11.883052634282109,8.510133343462499,10.938156807461503,144.94024691358024,153.56503086419752,93.90064814814815,2.9254857042379996,14.570953454285071,10.9437410749574,30.883091358024693,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_51_157_5_all.bmp,ALL,UID_51_157_5_all.bmp,76.8198614839714,35.104157736819545,80.10469916755025,15.593224768932792,13.689941202359451,10.929414289738839,148.56234349267942,147.6827667110339,81.84445146299096,6.829764942381706,30.5779512199133,11.782012216582746,36.7841975308642,False,False,False,False
/root/.cache/kagglehub/datasets/shafiullahshafin/c-nmc-2019-dataset/versions/1/C-NMC 2019 (PKG)/C-NMC_training_data/fold_1/all/UID_38_1_4_all.bmp,ALL,UID_38_1_4_all.bmp,67.92229447559957,28.157797398878415,77.10046533826512,10.68466705348227,7.920145790034516,9.981942341706688,144.44177305810763,162.8656186612576,77.20263095096051,3.885576067766454,16.805519172197286,10.097600499793483,48.00547160493827,False,False,False,False
